Del_MAP	psi	nC_MAP	p_MAP
4.76	0.001	9	0.019299273840556
4.77	0.001	9	0.0192788098328353
4.78	0.001	9	0.0192583642692983
4.79	0.001	9	0.0192379371372015
4.8	0.001	9	0.019217528423806
4.81	0.001	9	0.0191971381163773
4.82	0.001	9	0.0191767662021856
4.83	0.001	9	0.0191564126685055
4.84	0.001	9	0.0191360775026159
4.85	0.001	9	0.0191157606918005
4.86	0.001	9	0.0190954622233474
4.87	0.001	9	0.0190751820845491
4.88	0.001	9	0.0190549202627028
4.89	0.001	9	0.01903467674511
4.9	0.001	9	0.0190144515190771
4.91	0.001	9	0.0189942445719145
4.92	0.001	9	0.0189740558909376
4.93	0.001	9	0.018953885463466
4.94	0.001	9	0.018933733276824
4.95	0.001	9	0.0189135993183404
4.96	0.001	9	0.0188934835753486
4.97	0.001	9	0.0188733860351864
4.98	0.001	9	0.0188533066851963
4.99	0.001	9	0.0188332455127252
5	0.001	9	0.0188132025051247
5.01	0.001	9	0.0187931776497508
5.02	0.001	9	0.0187731709339641
5.03	0.001	9	0.01875318234513
5.04	0.001	9	0.0187332118706181
5.05	0.001	9	0.0187132594978028
5.06	0.001	9	0.0186933252140629
5.07	0.001	9	0.018673409006782
5.08	0.001	9	0.0186535108633481
5.09	0.001	9	0.0186336307711539
5.1	0.001	9	0.0186137687175965
5.11	0.001	9	0.0185939246900777
5.12	0.001	9	0.018574098676004
5.13	0.001	9	0.0185542906627863
5.14	0.525541626545207	9	0.0186053350540212
5.15	0.834892771299794	9	0.0186935430443628
5.16	0.931938645063808	9	0.0187177165682198
5.17	1.0398538124244	9	0.0187435004939042
5.18	1.3988139058218	9	0.0189022194426196
5.19	1.673628	9	0.01909505
5.2	0.001	10	0.0184742313641221
5.21	0.001	10	0.0184536645944256
5.22	0.001	10	0.0184331173274739
5.23	0.001	10	0.0184125895490161
5.24	0.001	10	0.0183920812448069
5.25	0.001	10	0.0183715924006062
5.26	0.001	10	0.0183511230021794
5.27	0.001	10	0.0183306730352975
5.28	0.001	10	0.0183102424857371
5.29	0.001	10	0.0182898313392799
5.3	0.001	10	0.0182694395817133
5.31	0.001	10	0.0182490671988304
5.32	0.001	10	0.0182287141764293
5.33	0.001	10	0.0182083805003142
5.34	0.001	10	0.0181880661562942
5.35	0.001	10	0.0181677711301843
5.36	0.001	10	0.0181474954078049
5.37	0.001	10	0.0181272389749818
5.38	0.001	10	0.0181070018175466
5.39	0.001	10	0.0180867839213361
5.4	0.001	10	0.0180665852721929
5.41	0.001	10	0.0180464058559648
5.42	0.001	10	0.0180262456585054
5.43	0.001	10	0.0180061046656737
5.44	0.001	10	0.0179859828633344
5.45	0.001	10	0.0179658802373575
5.46	0.001	10	0.0179457967736187
5.47	0.001	10	0.0179257324579992
5.48	0.001	10	0.0179056872763858
5.49	0.001	10	0.0178856612146707
5.5	0.001	10	0.0178656542587519
5.51	0.001	10	0.0178456663945328
5.52	0.001	10	0.0178256976079223
5.53	0.001	10	0.0178057478848351
5.54	0.001	10	0.0177858172111912
5.55	0.001	10	0.0177659055729163
5.56	0.001	10	0.0177460129559418
5.57	0.001	10	0.0177261393462044
5.58	0.001	10	0.0177062847296467
5.59	0.001	10	0.0176864490922166
5.6	0.001	10	0.0176666324198679
5.61	0.001	10	0.0176468346985596
5.62	0.001	10	0.0176270559142566
5.63	0.001	10	0.0176072960529294
5.64	0.001	10	0.0175875551005538
5.65	0.001	10	0.0175678330431117
5.66	0.001	10	0.0175481298665901
5.67	0.001	10	0.017528445556982
5.68	0.001	10	0.0175087801002858
5.69	0.001	10	0.0174891334825055
5.7	0.001	10	0.017469505689651
5.71	0.001	10	0.0174498967077375
5.72	0.001	10	0.0174303065227861
5.73	0.001	10	0.0174107351208232
5.74	0.001	10	0.0173911824878812
5.75	0.001	10	0.017371648609998
5.76	0.001	10	0.0173521334732169
5.77	0.001	10	0.0173326370635873
5.78	0.001	10	0.017313159367164
5.79	0.001	10	0.0172937003700073
5.8	0.001	10	0.0172742600581835
5.81	0.001	10	0.0172548384177643
5.82	0.001	10	0.0172354354348272
5.83	0.001	10	0.0172160510954552
5.84	0.001	10	0.0171966853857373
5.85	0.001	10	0.0171773382917677
5.86	0.001	10	0.0171580097996468
5.87	0.001	10	0.0171386998954802
5.88	0.001	10	0.0171194085653795
5.89	0.001	10	0.0171001357954619
5.9	0.001	10	0.0170808815718501
5.91	0.001	10	0.0170616458806728
5.92	0.001	10	0.0170424287080643
5.93	0.001	10	0.0170232300401644
5.94	0.001	10	0.0170040498631189
5.95	0.001	10	0.016984888163079
5.96	0.001	10	0.0169657449262018
5.97	0.001	10	0.0169466201386502
5.98	0.001	10	0.0169275137865925
5.99	0.001	10	0.0169084258562031
6	0.001	10	0.0168893563336617
6.01	0.001	10	0.0168703052051541
6.02	0.001	10	0.0168512724568716
6.03	0.001	10	0.0168322580750113
6.04	0.001	10	0.016813262045776
6.05	0.001	10	0.0167942843553743
6.06	0.001	10	0.0167753249900204
6.07	0.001	10	0.0167563839359345
6.08	0.001	10	0.0167374611793423
6.09	0.001	10	0.0167185567064752
6.1	0.001	10	0.0166996705035707
6.11	0.001	10	0.0166808025568716
6.12	0.001	10	0.0166619528526269
6.13	0.001	10	0.0166431213770909
6.14	0.001	10	0.0166243081165242
6.15	0.001	10	0.0166055130571926
6.16	0.001	10	0.016586736185368
6.17	0.001	10	0.016567977487328
6.18	0.001	10	0.016549236949356
6.19	0.001	10	0.0165305145577412
6.2	0.001	10	0.0165118102987784
6.21	0.001	10	0.0164931241587684
6.22	0.001	10	0.0164744561240177
6.23	0.001	10	0.0164558061808385
6.24	0.001	10	0.016437174315549
6.25	0.001	10	0.0164185605144729
6.26	0.001	10	0.01639996476394
6.27	0.001	10	0.0163813870502856
6.28	0.001	10	0.0163628273598512
6.29	0.001	10	0.0163442856789836
6.3	0.001	10	0.0163257619940358
6.31	0.001	10	0.0163072562913665
6.32	0.001	10	0.0162887685573401
6.33	0.001	10	0.016270298778327
6.34	0.001	10	0.0162518469407033
6.35	0.001	10	0.016233413030851
6.36	0.001	10	0.0162149970351577
6.37	0.001	10	0.0161965989400172
6.38	0.001	10	0.0161782187318288
6.39	0.001	10	0.0161598563969978
6.4	0.001	10	0.0161415119219354
6.41	0.001	10	0.0161231852930583
6.42	0.001	10	0.0161048764967894
6.43	0.001	10	0.0160865855195574
6.44	0.001	10	0.0160683123477967
6.45	0.001	10	0.0160500569679475
6.46	0.001	10	0.0160318193664561
6.47	0.001	10	0.0160135995297745
6.48	0.001	10	0.0159953974443605
6.49	0.001	10	0.0159772130966779
6.5	0.001	10	0.0159590464731963
6.51	0.001	10	0.0159408975603911
6.52	0.001	10	0.0159227663447437
6.53	0.001	10	0.0159046528127413
6.54	0.001	10	0.0158865569508769
6.55	0.001	10	0.0158684787456495
6.56	0.001	10	0.0158504181835639
6.57	0.001	10	0.0158323752511308
6.58	0.001	10	0.0158143499348668
6.59	0.001	10	0.0157963422212944
6.6	0.001	10	0.0157783520969419
6.61	0.001	10	0.0157603795483436
6.62	0.001	10	0.0157424245620397
6.63	0.001	10	0.0157244871245761
6.64	0.001	10	0.0157065672225048
6.65	0.001	10	0.0156886648423838
6.66	0.001	10	0.0156707799707767
6.67	0.001	10	0.0156529125942531
6.68	0.001	10	0.0156350626993887
6.69	0.001	10	0.0156172302727649
6.7	0.001	10	0.0155994153009691
6.71	0.001	10	0.0155816177705947
6.72	0.001	10	0.0155638376682408
6.73	0.001	10	0.0155460749805125
6.74	0.001	10	0.0155283296940211
6.75	0.001	10	0.0155106017953834
6.76	0.001	10	0.0154928912712224
6.77	0.001	10	0.0154751981081669
6.78	0.001	10	0.0154575222928518
6.79	0.001	10	0.0154398638119177
6.8	0.001	10	0.0154222226520114
6.81	0.001	10	0.0154045987997855
6.82	0.001	10	0.0153869922418985
6.83	0.550418431815229	10	0.0154403840379235
6.84	1.62704642615018	10	0.0157751498745171
6.85	3.190608	11	0.01681565
6.86	0.001	11	0.015105677060186
6.87	0.001	11	0.0150877066480972
6.88	0.001	11	0.0150697546103048
6.89	0.001	11	0.0150518209320155
6.9	0.001	11	0.0150339055984428
6.91	0.001	11	0.0150160085948071
6.92	0.001	11	0.0149981299063358
6.93	0.001	11	0.0149802695182634
6.94	0.001	11	0.0149624274158313
6.95	0.001	11	0.0149446035842878
6.96	0.001	11	0.0149267980088881
6.97	0.001	11	0.0149090106748947
6.98	0.001	11	0.0148912415675767
6.99	0.001	11	0.0148734906722104
7	0.001	11	0.014855757974079
7.01	0.001	11	0.0148380434584728
7.02	0.001	11	0.0148203471106889
7.03	0.001	11	0.0148026689160315
7.04	0.001	11	0.0147850088598119
7.05	0.001	11	0.0147673669273483
7.06	0.001	11	0.0147497431039657
7.07	0.001	11	0.0147321373749964
7.08	0.001	11	0.0147145497257796
7.09	0.001	11	0.0146969801416614
7.1	0.001	11	0.0146794286079952
7.11	0.001	11	0.0146618951101411
7.12	0.001	11	0.0146443796334663
7.13	0.001	11	0.0146268821633451
7.14	0.001	11	0.0146094026851587
7.15	0.001	11	0.0145919411842956
7.16	0.001	11	0.0145744976461509
7.17	0.001	11	0.014557072056127
7.18	0.001	11	0.0145396643996333
7.19	0.001	11	0.0145222746620863
7.2	0.001	11	0.0145049028289093
7.21	0.001	11	0.0144875488855328
