Del_FPP	alpha0	nC_FPP	p_FPP
5.61	1	10	0.0167733939815402
5.62	1	10	0.0167478755050294
5.63	1	10	0.0167223902468095
5.64	1	10	0.0166969381731929
5.65	1	10	0.0166715192505107
5.66	1	10	0.0166461334451133
5.67	1	10	0.0166207807233698
5.68	1	10	0.0165954610516684
5.69	1	10	0.0165701743964164
5.7	1	10	0.0165449207240401
5.71	1	10	0.0165197000009848
5.72	1	10	0.0164945121937148
5.73	1	10	0.0164693572687137
5.74	1	10	0.0164442351924841
5.75	1	10	0.0164191459315474
5.76	1	10	0.0163940894524446
5.77	1	10	0.0163690657217355
5.78	1	10	0.0163440747059991
5.79	1	10	0.0163191163718336
5.8	1	10	0.0162941906858563
5.81	1	10	0.0162692976147037
5.82	1	10	0.0162444371250315
5.83	1	10	0.0162196091835147
5.84	1	10	0.0161948137568472
5.85	1	10	0.0161700508117425
5.86	1	10	0.0161453203149331
5.87	1	10	0.0161206222331708
5.88	1	10	0.0160959565332268
5.89	1	10	0.0160713231818912
5.9	1	10	0.0160467221459739
5.91	1	10	0.0160221533923036
5.92	1	10	0.0159976168877287
5.93	1	10	0.0159731125991167
5.94	1	10	0.0159486404933545
5.95	1	10	0.0159242005373483
5.96	1	10	0.0158997926980237
5.97	1	10	0.0158754169423258
5.98	1	10	0.0158510732372188
5.99	1	10	0.0158267615496864
6	1	10	0.0158024818467319
6.01	1	10	0.0157782340953777
6.02	1	10	0.0157540182626659
6.03	1	10	0.0157298343156578
6.04	1	10	0.0157056822214344
6.05	1	10	0.0156815619470959
6.06	1	10	0.0156574734597622
6.07	1	10	0.0156334167265726
6.08	1	10	0.0156093917146858
6.09	1	10	0.0155853983912801
6.1	1	10	0.0155614367235533
6.11	1	10	0.0155375066787228
6.12	1	10	0.0155136082240255
6.13	1	10	0.0154897413267177
6.14	1	10	0.0154659059540754
6.15	1	10	0.0154421020733943
6.16	1	10	0.0154183296519895
6.17	1	10	0.0153945886571956
6.18	1	10	0.0153708790563671
6.19	1	10	0.0153472008168779
6.2	1	10	0.0153235539061215
6.21	1	10	0.0152999382915114
6.22	1	10	0.0152763539404802
6.23	1	10	0.0152528008204805
6.24	1	10	0.0152292788989846
6.25	1	10	0.0152057881434844
6.26	1	10	0.0151823285214913
6.27	1	10	0.0151589000005367
6.28	1	10	0.0151355025481716
6.29	1	10	0.0151121361319667
6.3	1	10	0.0150888007195125
6.31	1	10	0.015065496278419
6.32	1	10	0.0150422227763164
6.33	1	10	0.0150189801808542
6.34	1	10	0.014995768459702
6.35	1	10	0.014972587580549
6.36	1	10	0.0149494375111043
6.37	1	10	0.0149263182190967
6.38	1	10	0.0149032296722749
6.39	1	10	0.0148801718384075
6.4	1	10	0.0148571446852827
6.41	1	10	0.0148341481807087
6.42	1	10	0.0148111822925136
6.43	1	10	0.0147882469885452
6.44	1	10	0.0147653422366713
6.45	1	10	0.0147424680047796
6.46	1	10	0.0147196242607776
6.47	1	10	0.0146968109725928
6.48	1	10	0.0146740281081724
6.49	1	10	0.0146512756354837
6.5	1	10	0.0146285535225141
6.51	1	10	0.0146058617372706
6.52	1	10	0.0145832002477802
6.53	1	10	0.0145605690220902
6.54	1	10	0.0145379680282674
6.55	1	10	0.0145153972343989
6.56	1	10	0.0144928566085917
6.57	1	10	0.0144703461189727
6.58	1	10	0.0144478657336889
6.59	1	10	0.0144254154209074
6.6	1	10	0.0144029951488151
6.61	1	10	0.0143806048856191
6.62	1	10	0.0143582445995465
6.63	1	10	0.0143359142588444
6.64	1	10	0.01431361383178
6.65	1	10	0.0142913432866406
