Del_APP	delta0	nC_APP	p_APP
7.3	0	12	0.0151763415680667
7.31	0	12	0.015156664496779
7.32	0	12	0.0151370086625277
7.33	0	12	0.0151173740496836
7.34	0	12	0.0150977606426179
7.35	0	12	0.0150781684257014
7.36	0	12	0.015058597383305
7.37	0	12	0.0150390474998
7.38	0	12	0.0150195187595575
7.39	0	12	0.0150000111469488
7.4	0	12	0.0149805246463456
7.41	0	12	0.0149640072508593
7.42	0	12	0.0149518057155286
7.43	0	12	0.0149396180631444
7.44	0	12	0.0149274442811145
7.45	0	12	0.0149152843568573
7.46	0	12	0.0149031382778017
7.47	0	12	0.0148911424805981
7.48	0	12	0.0148795316136105
7.49	0	12	0.0148679342867544
7.5	0	12	0.0148563504879722
7.51	0	12	0.0148520003344707
7.52	0	12	0.0148484590723758
7.53	0	12	0.0148305644209577
7.54	0	12	0.0148131321734213
7.55	0	12	0.014797113087007
7.56	0	12	0.014785138224006
7.57	0	12	0.0147732125570865
7.58	0	12	0.0147617222626806
7.59	0	12	0.0147545271203705
7.6	0	12	0.01473982384729
7.61	0	12	0.0147264199852448
7.62	0	12	0.0147146053951608
7.63	0	12	0.0147028043193704
7.64	0	12	0.0146910167455043
7.65	0	12	0.0146792426612044
7.66	0	12	0.0146674820541234
7.67	0	12	0.0146557349119251
7.68	0	12	0.0146440012222841
7.69	0	12	0.0146322809728862
7.7	0	12	0.0146205741514281
7.71	0	12	0.0146091873702388
7.72	0	12	0.0145979915882265
7.73	0	12	0.0145998561519903
7.74	0	12	0.0146042289188447
7.75	0	12	0.0146086010101414
7.76	0	12	0.0145916742266203
7.77	0	12	0.0145725776380404
7.78	0	12	0.0145535020181699
7.79	0	12	0.014534447350886
7.8	0	12	0.014515413620067
7.81	0	12	0.0144964008095931
7.82	0	12	0.0144825967119134
7.83	0	12	0.0144709444852134
7.84	0	12	0.0144593056454375
7.85	0	12	0.0144476801804195
7.86	0	12	0.0144364642854325
7.87	0	12	0.0144254756006176
7.88	0	12	0.0144269138142391
7.89	0	12	0.0144116355168464
7.9	0	12	0.0143956001247659
7.91	0	12	0.0143800579055786
7.92	0	12	0.0143685971037907
7.93	0	12	0.0143571495021891
7.94	0	12	0.0143457150886866
7.95	0	12	0.0143342938512069
7.96	0	12	0.0143228857776846
7.97	0	12	0.0143114908560653
7.98	0	12	0.0143001090743055
7.99	0	12	0.0142891192954623
8	0	12	0.0142781978868672
8.01	0	12	0.0142672097477601
8.02	0	12	0.0142559135330568
8.03	0	12	0.0142446303595871
8.04	0	12	0.0142333602154073
8.05	0	12	0.0142221030885841
8.06	0	12	0.0142108589671955
8.07	0	12	0.0141996278393303
8.08	0	12	0.0141884096930878
8.09	0	12	0.0141772045165787
8.1	0	12	0.0141660122979242
8.11	0	12	0.0141548330252565
8.12	0	12	0.0141436666867185
8.13	0	12	0.0141325132704642
8.14	0	12	0.0141213869508845
8.15	0	12	0.0141105019377288
8.16	0	12	0.0140996292331592
8.17	0	12	0.0140887688259252
8.18	0	12	0.0140739080299611
