Del_APP	delta0	nC_APP	p_APP
4.78	0	11	0.0190114052789333
4.79	0	11	0.0190045727782929
4.8	0	11	0.0189884753384623
4.81	0	11	0.0189727512742961
4.82	0	11	0.018957425162998
4.83	0	11	0.0189421150919092
4.84	0	11	0.0189452673947595
4.85	0	11	0.018951159222835
4.86	0	11	0.0189429625324211
4.87	0	11	0.0189199110462038
4.88	0	11	0.0188968829019442
4.89	0	11	0.0188738780833034
4.9	0	11	0.0188508965739434
4.91	0	11	0.0188279383575271
4.92	0	11	0.0188050034177182
4.93	0	11	0.0187843500469254
4.94	0	11	0.0187684775882729
4.95	0	11	0.0187526216047678
4.96	0	11	0.0187367820824003
4.97	0	11	0.0187149719759212
4.98	0	11	0.0186930077223652
4.99	0	11	0.0186711858956968
5	0	11	0.0186496255695828
5.01	0	11	0.0186320129839287
5.02	0	11	0.0186233294364156
5.03	0	11	0.0186146582686843
5.04	0	11	0.0186059994734689
5.05	0	11	0.0185958140288411
5.06	0	11	0.0185806090809949
5.07	0	11	0.018565689553234
5.08	0	11	0.0185507858270216
5.09	0	11	0.0185566365651295
5.1	0	11	0.0185565051053105
5.11	0	11	0.0185480894213741
5.12	0	11	0.0185356175787842
5.13	0	11	0.0185161411132738
5.14	0	11	0.0184966845704775
5.15	0	11	0.0184772479333802
5.16	0	11	0.0184578311849764
5.17	0	11	0.01843843430827
5.18	0	11	0.0184190572862743
5.19	0	11	0.0183997001020121
5.2	0	11	0.0183803627385158
5.21	0	11	0.0183610451788271
5.22	0	11	0.0183417474059972
5.23	0	11	0.0183224694030867
5.24	0	11	0.0183055414222567
5.25	0	11	0.0182902485414532
5.26	0	11	0.0182749716289938
5.27	0	11	0.0182597106711521
5.28	0	11	0.0182444656542119
5.29	0	11	0.0182292365644666
5.3	0	11	0.0182140233882198
5.31	0	11	0.0181988261117845
5.32	0	11	0.0181836447214838
5.33	0	11	0.0181684792036507
5.34	0	11	0.0181533295446279
5.35	0	11	0.0181381957307679
5.36	0	11	0.0181232323340929
5.37	0	11	0.0181085271078357
5.38	0	11	0.0180938369632366
5.39	0	11	0.0180791618871765
5.4	0	11	0.0180655339626156
5.41	0	11	0.018063057931803
5.42	0	11	0.0180689124983566
5.43	0	11	0.0180747708854565
5.44	0	11	0.0180806330936397
5.45	0	11	0.0180864991234386
5.46	0	11	0.0180923689753805
5.47	0	11	0.0180846256715746
5.48	0	11	0.0180631209864411
5.49	0	11	0.018041637069134
5.5	0	11	0.0180321753805276
5.51	0	11	0.0180187313882503
5.52	0	11	0.0179995415414709
5.53	0	11	0.017980371386012
5.54	0	11	0.017961220905065
5.55	0	11	0.0179420900818306
5.56	0	11	0.0179229788995184
5.57	0	11	0.0179038873413477
5.58	0	11	0.0178848153905465
5.59	0	11	0.0178659251785947
5.6	0	11	0.0178473780713024
5.61	0	11	0.0178288497562624
5.62	0	11	0.0178227496124081
5.63	0	11	0.0178049501635978
5.64	0	11	0.0177830416742859
5.65	0	11	0.0177641481901809
5.66	0	11	0.0177567425285795
5.67	0	11	0.0177493485866946
5.68	0	11	0.0177395927833033
5.69	0	11	0.0177218388258642
5.7	0	11	0.0177041031050584
5.71	0	11	0.0176863856049915
5.72	0	11	0.0176687876082161
5.73	0	11	0.0176514007082045
5.74	0	11	0.0176340313146666
5.75	0	11	0.0176166794124174
5.76	0	11	0.0175993449862815
5.77	0	11	0.0175908600087592
5.78	0	11	0.0175836151624443
5.79	0	11	0.0175763636284151
5.8	0	11	0.0175691054162146
5.81	0	11	0.0175618405353984
5.82	0	11	0.0175545689955354
5.83	0	11	0.0175472908062072
5.84	0	11	0.0175390629792857
5.85	0	11	0.0175221230596394
5.86	0	11	0.0175052005815995
5.87	0	11	0.0174882955298788
5.88	0	11	0.0174714078892
5.89	0	11	0.0174545376442955
5.9	0	11	0.0174376847799074
5.91	0	11	0.0174208492807874
5.92	0	11	0.017404031131697
5.93	0	11	0.0173872303174074
5.94	0	11	0.0173704468226997
5.95	0	11	0.0173536806323643
5.96	0	11	0.017336946712072
5.97	0	11	0.0173202936560618
5.98	0	11	0.0173036577874905
5.99	0	11	0.0172870390912543
6	0	11	0.017270437552259
6.01	0	11	0.0172538531554203
6.02	0	11	0.0172372858856634
6.03	0	11	0.0172207357279234
